Rank,Country_Region,Last_Update,Confirmed,Deaths,Recovered
1,US,2022-04-02 04:20:47,80141546,981701,0
2,India,2022-04-02 04:20:47,43027035,521264,0
3,Brazil,2022-04-02 04:20:47,29978513,660265,0
4,France,2022-04-02 04:20:47,25952226,143441,0
5,United Kingdom,2022-04-02 04:20:47,21379545,166168,0
6,Germany,2022-03-19 23:20:51,21357039,129695,0
7,Russia,2022-04-02 04:20:47,17601907,361679,0
8,Turkey,2022-04-02 04:20:47,14873927,98078,0
9,Italy,2022-04-02 04:20:47,14719394,159537,0
10,"Korea, South",2022-04-02 04:20:47,13639915,16929,0
